positive words,count,negative words,count,company
excellent,2,outrageous,1,Tesla
perfect,1, shame,1,Tesla
love,2,horrible ,2,Tesla
expensive,1,egregious,1,Tesla
joke,1,stink,1,Tesla
wonderful,1,disappointed ,1,Tesla
obviously,1,painful,1,Tesla
unbelievable,1,hate,2,Tesla
honourable,1,inaccurate,1,Tesla
nice,4,unhappy,2,Tesla
awesome,2,lousy,1,Buy Side Auto
upfront,1,dread,2,Buy Side Auto
love,2,dislike,1,Buy Side Auto
pleasant,1,stressful,1,Buy Side Auto
amazing,1,impeccable,1,Buy Side Auto
skillful,1,liar,1,Buy Side Auto
lol,1,incorrect,1,Buy Side Auto
definitely,1,sick,1,Buy Side Auto
welcome,1,stupid,1,Buy Side Auto
best,8,crap,1,Buy Side Auto
excellent,1,poor,1,Auto Deals
nice,1,bad,1,Auto Deals
super,1,complaint,2,Auto Deals
good,4,untruthful,1,Auto Deals
beautiful,1,dusty,1,Auto Deals
amazing,1,unreliable,1,Auto Deals
trusted,1,nothing,1,Auto Deals
perfect,1,cheap,1,Auto Deals
happy,4,tough,1,Auto Deals
awesome,2,complicated,1,Auto Deals
