,review,vader_compound,vader_neg,vader_new,vader_pos,Vader_Sentiment,Company
0,"My model 3 got punctured on monday, slow leak for 2 days and decided to visit this service center again since the only one in SF.On google it says open at 10am but I went there around 9am, CK quickly greeted me and check the puncture. Unfortunately the puncture can't be repair so we needed to change to new tire.They put a loaner tire for me to drive around while they replace the new tire and comeback at 3pm and have it install in couple minutes.The price of new tire is somewhat $100 cheaper than the price that quoted me from my local shop in Sunset District.Thanks again CK for responsive quick service!",0.041,0.905,0.053,0.3382,Neutral,Tesla
1,"Waited 1yr prior to purchase bcuz of the flaws ive read and seen on YouTube. Finally pulled the trigger in September 2019 but it took almost 3weeks to get their paperwork in order then another 2weeks before the car was ready. Once ready, they rush you to get your car immediately. Unfortunately I was out of town on business and they ended up reselling to car to some one else. When I came back I was told to place another order but because it was the first month of the new quarter to expect the car on the last month of the new quarter. In my case, ordered October with delivery eta in December! Expect to work with at least (5) different Tesla employees with specific roles during the purchase process however don't expect them to get back to you quickly when you have a question.  Now for the car. While you wait your turn to sign all the paperwork, go and inspect your car for blemishes, functionality and cleanliness. I picked up mine at night. Their interior lighting was poor but found 1 dent, 3 scratches, 7 rim rashes, filthy interior window, 4 grease spots, rattle noises near glove box, & gritty exterior paint. You'd think they would fix it while I was there but they want to ensure that the car is off their lot and force you to schedule an appointment. Such a hassle since it can't be done with their mobile service so you have to take a day off to bring it in. Oh first available was 21days. Another thing is don't  bother with the instructions, you'll figure it out sooner or later. Lots of youtube vids too. Spend quality time inspecting your car.Regenerate breaking isn't impactful to your battery life. 90% charge gives you about 210miles. Tesla doesn't recommend you charge at 100% so you'll never get 328mi. To save battery you would have to turn off all electrical amenities in the car however it's impossible to do. High resolution screen, heat or defrost is needed for front windows, & radio can never be turned off will drain your battery. Blind side monitoring is very different, no apple car play, no front camera for your viewing, rear cross traffic alert and sequence to open doors imo are major drawbacks in comparison to current high end vehicles.",0.049,0.892,0.06,0.5417,Neutral,Tesla
2,"This dealership has owed me $21,000 for the past 4 months. It's outrageous. I bought a car partially financed back in June and then decided I wanted a different color. So I took advantage of their 7-day return policy and returned the first car. Then I decided to lease instead. They told me that it might take a month or two to receive the refund for the first car, which sounded a little bit long to me. But I waited. After 2 months I started calling the dealership and Tesla finance to inquire about the $21K. Sometimes they would tell me that the check is in the mail. Sometimes they made it sound like they had lost the car! Nobody ever got back to me, despite promising to. I eventually wrote a threatening letter to Tesla corporate and that seemed to prompt some action. They had me come in a month ago to sign some DMV paperwork they had forgotten to have me sign before. Yet, they couldn't tell me when I would receive my refund. Nobody is returning my calls at this point. This experience has been so painful that I'm thinking about returning the Tesla I have. I l love the car but the company itself is a mess. I'm going to hire a lawyer this week and sue them.",0.104,0.848,0.047,-0.9145,Neutral,Tesla
3,"I bought a Model X with a warranty from Tesla SF, warranty of course includes the battery.  It is rated for 237 miles of range. Within four days of purchase, I noted I am getting 40 miles on it before it is at zero.  The car is also losing 24 miles per day when it's not being driven. Their service support indicates it is completely normal and refuses to do anything about the battery - in fact they told me my car's battery is outperforming the average Model X!  I don't understand how this is normal.  How is it normal that the car only is able to do 1/6 of its rated range?  The average american drives 18 miles to work - good luck making it home.  It's misleading advertising and poor warranty support. I wish I wouldn't have bought the car.  Buyer beware.",0.057,0.846,0.097,0.7088,Neutral,Tesla
4,Unfortunately I'm here to corroborate the other poor reviews. The customer service is non existent. We waited for two weeks before someone got back to us on a confirmation date only for them to have given our car away. It's been over a month trying to communicate with them and it really is a pain. Good thing they have a great product to fall back on to despite them not caring about the customer.,0.11,0.775,0.115,0.1002,Neutral,Tesla
5,"During my first time I went into the San Francisco Tesla for service, the technician was able to identify the issues. 1. My car's trunk opened in the middle of the freeway.2. My car was making weird noises when making full turns.However, there were no loaners and my service adviser Sheri offers me $100/day Uber credits for commute or reschedule for an appointment. My daily commute is about 40miles to work one way and it would cost more than $100/day to take Uber, so I did not want to take that option. Sheri promised me if I reschedule for 2 weeks later, she will guarantee a loaner for me. She even puts that on the notes for my next appointment to reserve a vehicle with carpool lane sticker for me. Two weeks later, I went in for my rescheduled appointment and Sheri told me there is no loaner, so she will give me Uber credits. I told her the only reason for the reschedule was because you did not have a loaner for me 2 weeks ago and you guaranteed me you will get me one this time. Are you saying there were no one returning a loaner for the past 2 weeks? Sheri replied with ""Nothing can be guarantee. We can only give you Uber credits."" I was unhappy but unwilling to take another day off to go in for service because they do not open on weekends. I even took Uber screenshots and showed her my one way trip goes over $100 each way. I ended up taking other transportation to work that week after spending all the Uber credits.On a Friday, Sheri told me the car is fixed and they could deliver the car back to my house for free. I said I will take that service please. I asked her about what was done to the car and she informed me about the service. The trunk parts were replaced for free and they found debris inside my rotors that were causing the noises. And because they did not have to replace any parts for the turning issue, it means Tesla is not at fault and the charge would be $195. I disagreed with the charge because my car is only a year old and warranty should cover for the problem. She then ignores me and would not reply to my calls or texts. There were no communication at all and the car was not delivered to my house that Friday. On the next Monday, I called in and text her again in the morning. She ignores me again... I am going to assume she has a hangover or something so she could not go to work on Monday. I went into SF myself to get my car(Uber credits expired on Saturday), so I am paying to drive there even though they are suppose to deliver me the car on Friday. I talked to the first guy I saw and his name is David. He helped me cover the $195 using my warranty because they did find issues with the car creating the noise and my car is only a year old. Hence, I am giving this review a 2 stars because David is very nice and professional.",0.044,0.888,0.068,0.9431,Neutral,Tesla
6,Tesla is Terrible the Computers Malfunction and the Service along with Employees are the Rudest People You Will Ever Come Across,0.258,0.742,0.0,-0.765,Neutral,Tesla
7,"Great car (Model 3), absolutely incompetent staff. They offered a great return policy, had to wait 6 months to get $8500 back and only got it after legal threats. They lost the paperwork, thing ""fell through the cracks"", absolutely zero communication, ignored texts, just horrendous customer service.",0.241,0.601,0.158,-0.6318,Neutral,Tesla
8,"Aside from my strong feelings as a usability researcher that the Tesla 3's UI is terrible if not dangerous for people driving a car (the primary job of this piece of metal), this dealership was meh in convincing me I should go for it against my better judgment. Ha! Context: I actually am looking for a new car. The 3 is within the price range we'd consider and I can charge for free at work and get valet parking. Given regular parking at work is like a daily re-enactment of lord of the flies, i could be swayed to fork over extra to regain 15 minutes of sanity in the morning. Pros: Sexy cars, obviously. I can charge said sexy car at work and save a bundle. Cute kid area to entertain your small dependents while waiting for a test drive. The 3 and its luxurious counterparts are up for playing with in the showroom. Cons: In the middle of the bleeping city. If you're looking for a test drive, a block away in either direction is a busy street. If you wanted to test the vehicle for zippiness or speed I challenge you to find a driver adjacent to you who will give you the space. I'd recommend going to another dealership in any quieter area where you can actually exercise any speedy attributes this car has. Keep in mind as other reviews have mentioned, you're responsible for damages (or at least that's what the signoff states, and the guy who handed me the keycard asked if I had insurance). The people working there act like you should know all the expected esoteric shit these cars want you to do. Why do you think I'm here seeing this thing in person? No, really, tell me how to turn off this stupid ho ho ho Santa mode crap because the instructions on screen are actually not working (what other controls are inaccurate here?). Disorganized way of setting up test drives. We must have been there for 45 minutes having talked to a guy early on who said ok we are good to get the next drive available. Next, we find out we had to sign in etc and need to now wait for everyone else in the queue for longer. Given how disorganized the place was I can't imagine what getting service for these vehicles is like, given the fact you can't really go elsewhere. Sounds appealing.... They call us a few days later asking if we're ready to buy one. Like literally in the first minute of the convo. Nope nope nope!! Rather stay in my 2009 Honda hooptie with the paint peeling off. Fix your UI and your attitude and I'd consider it.",0.055,0.821,0.124,0.9826,Neutral,Tesla
9,"Quick delivery by Lee.  Detailed explanation and car was perfect.  No hard copy of any paperwork (eco friendly), all pdf on your tesla account to view or print out if you like.No talking to a finance guy on extended warranties or clear bras or upsells.Easy pick up of car ever.  Everything was done online.  Come in, sign a few spots, and drive off.",0.054,0.852,0.094,0.5719,Neutral,Tesla
10,"Love the technology. Hate the service. The person I worked with are rude, condescending.They never called me to tell me my car was ready. When I called into inquire about the status, I was put on hold for 14 minutes. No check in during that time I was on the phone, just made me hold the entire time.When I arrive to pick up the car, I gave them my name and the color and model number of my car. The representative checking for my car kept on typing on the computer, it seemed like he could not find my car. Important note, my car was towed in from Tesla roadside service. It seems like he could not find my car on the system, so I asked ""is was my car here?"" And he replied ""don't jump to conclusions, I will find your car. ""I replied, ""I'm not jumping to conclusions, I'm just inquiring if you have my car.""He then showed me to their waiting room and seemed very upset. At this point I still did not know if they had my car.I noticed he was on the phone and talking to multiple people outside the glass door waiting room. Eventually, I saw him drive my Model 3 into the service center. He motioned me over to my car. Still unhappy with the communication during this service pick up, I asked what his name was. He said ""John"". I asked, ""John, what is your last name?"". He replied ""Smith"".",0.058,0.883,0.06,-0.2853,Neutral,Tesla
11,Tesla service is awful. So much worse than Subaru for example. But the crazy part is how often Teslas break down. The terrible reliability makes interfacing with their awful service centers even more painful because of how frequently you end up dealing with their BS. Truth is I barely have any experience with Subaru service because I rarely have any issues with my Subarus despite driving Subaru vehicles for 6-7 years,0.233,0.732,0.035,-0.95,Neutral,Tesla
12,"Wow, unbelievable. There is person working there who goes by C.K. who is incredibly rude. He refused to give his name (had to ask his co-workers for the name) He was just yelling at me, telling me that he doesn't like me, refusing to help and asking me to call him Rambo if I want to?! This was my second interaction with him, and it's horrible. He actually told me that he will call security on me because I asked his co-workers about his name. What a shame! I truly like Tesla but leaving people like him to work makes me hate that place.Don't go there unless you really have to. I had a wonderful experience with the people in the Marin office.",0.142,0.733,0.124,-0.5359,Neutral,Tesla
13,"I had an excellent car shopping experience at this dealership, which operates far above and beyond the average semi-predatory car dealership. I experienced low to no pressure, as the salesperson - Renee - let the car sell itself. There is no negotiating on price, which takes a little away from being able to enjoy a sense of fighting for a good deal, but it was also a relief to forgo all of the preparatory research, intense negotiations, and the inevitable and exhausting rounds of, ""Let me see what my manager thinks."" You don't have to commit an entire day of your life to buy a car from this dealership; the process is straightforward, streamlined and fast. Everyone I spoke with was pleasant, helpful and friendly, a welcome change from the stressed out faces and clipped responses I've experienced at other dealerships when dealing with anyone other than my salesperson. Sales is a difficult and honorable profession, and it's always a pleasure to see it done right, as it is at this dealership.",0.102,0.705,0.194,0.9726,Neutral,Tesla
